method,case_id,turn_index,status,checklist_score,failed_item_count,critical_failed_count,history_retention,current_success,failed_items,failed_reasons,instruction,image_path
current-only,background_only_dog,1,OK,1.0,0,0,1.0,1.0,,,Generate a dog sitting in the center of a park.,outputs/benchmarks/memory_stress_full_v2_20260723/current-only/background_only_dog/turn_01/image.png
current-only,background_only_dog,2,OK,1.0,0,0,1.0,1.0,,,Make the dog wear a red scarf.,outputs/benchmarks/memory_stress_full_v2_20260723/current-only/background_only_dog/turn_02/image.png
current-only,background_only_dog,3,BAD,0.25,3,3,0.0,1.0,dog_exists [object_retention/history]; dog_sitting [pose_retention/history]; red_scarf [attribute_drift/history],"No dog is visible in the image; only a snowy forest is present. | No dog is present, so sitting pose cannot be verified. | No dog is visible, so no scarf can be observed.",Change only the background to a snowy forest.,outputs/benchmarks/memory_stress_full_v2_20260723/current-only/background_only_dog/turn_03/image.png
current-only,background_only_dog,4,BAD,0.6,2,2,0.5,1.0,red_scarf [attribute_drift/history]; snowy_forest [scene_drift/history],"The scarf is brown, not red, as requested in history. | The background is a plain, warm-toned gradient, not a snowy forest.","Add warm lighting without changing the dog, scarf, or sitting pose.",outputs/benchmarks/memory_stress_full_v2_20260723/current-only/background_only_dog/turn_04/image.png
current-only,count_conflict_balloons,1,OK,1.0,0,0,1.0,1.0,,,Generate a child holding exactly two balloons.,outputs/benchmarks/memory_stress_full_v2_20260723/current-only/count_conflict_balloons/turn_01/image.png
current-only,count_conflict_balloons,2,BAD,0.6667,1,1,0.5,1.0,child_exists [object_retention/history],No child is visible in the image; only two balloons are present.,Make one balloon red and one balloon yellow.,outputs/benchmarks/memory_stress_full_v2_20260723/current-only/count_conflict_balloons/turn_02/image.png
current-only,count_conflict_balloons,3,BAD,0.6667,1,1,0.0,1.0,child_exists [object_retention/history],No child is visible in the image; only three balloons are present.,Change the count to exactly three balloons by adding one blue balloon.,outputs/benchmarks/memory_stress_full_v2_20260723/current-only/count_conflict_balloons/turn_03/image.png
current-only,count_conflict_balloons,4,OK,1.0,0,0,1.0,1.0,,,"Put the child on a beach, keeping exactly three balloons and no extra balloons.",outputs/benchmarks/memory_stress_full_v2_20260723/current-only/count_conflict_balloons/turn_04/image.png
current-only,negative_constraint_teacher,1,OK,1.0,0,0,1.0,1.0,,,Generate a teacher robot standing beside a classroom blackboard.,outputs/benchmarks/memory_stress_full_v2_20260723/current-only/negative_constraint_teacher/turn_01/image.png
current-only,negative_constraint_teacher,2,BAD,0.6667,1,1,0.5,1.0,blackboard [scene_drift/history],"The background shows a laboratory or office setting with microscopes and monitors, but no classroom blackboard is visible.",Make the robot hold a red textbook.,outputs/benchmarks/memory_stress_full_v2_20260723/current-only/negative_constraint_teacher/turn_02/image.png
current-only,negative_constraint_teacher,3,BAD,0.3333,2,2,0.0,1.0,red_textbook [attribute_drift/history]; robot_teacher [object_retention/history],"The child is holding a blue book with illustrations; no red textbook is visible. | The main subject is a child reading a book, not a teacher robot.",Use children's book illustration style.,outputs/benchmarks/memory_stress_full_v2_20260723/current-only/negative_constraint_teacher/turn_03/image.png
current-only,negative_constraint_teacher,4,BAD,0.75,1,1,0.6667,1.0,robot_teacher [object_retention/history],No robot is visible in the image; only a classroom with desks and a red textbook.,"Keep the red textbook and classroom, but do not include readable text on the blackboard.",outputs/benchmarks/memory_stress_full_v2_20260723/current-only/negative_constraint_teacher/turn_04/image.png
current-only,object_addition_wallet,1,OK,1.0,0,0,1.0,1.0,,,Generate a black leather wallet on a marble countertop with a credit card partially sticking out.,outputs/benchmarks/memory_stress_full_v2_20260723/current-only/object_addition_wallet/turn_01/image.png
current-only,object_replacement_wolf_dog,1,OK,1.0,0,0,1.0,1.0,,,Generate a gray wolf standing in the snow.,outputs/benchmarks/memory_stress_full_v2_20260723/current-only/object_replacement_wolf_dog/turn_01/image.png
current-only,object_replacement_wolf_dog,2,BAD,0.6667,1,0,0.0,1.0,snow [scene_drift/history],"The background shows dark forest ground and trees, no snow is visible.",Replace the wolf with a black dog.,outputs/benchmarks/memory_stress_full_v2_20260723/current-only/object_replacement_wolf_dog/turn_02/image.png
current-only,object_replacement_wolf_dog,3,OK,1.0,0,0,1.0,1.0,,,Move the black dog to the left side of the image.,outputs/benchmarks/memory_stress_full_v2_20260723/current-only/object_replacement_wolf_dog/turn_03/image.png
current-only,object_replacement_wolf_dog,4,BAD,0.75,1,1,0.6667,1.0,black_dog [object_conflict/history],"The dog is primarily gray and brown with white markings, not black.",Add a blue collar to the dog while keeping it on the left in the snow.,outputs/benchmarks/memory_stress_full_v2_20260723/current-only/object_replacement_wolf_dog/turn_04/image.png
current-only,scarf_color_conflict_fox,1,OK,1.0,0,0,1.0,1.0,,,Generate a fox standing in autumn leaves.,outputs/benchmarks/memory_stress_full_v2_20260723/current-only/scarf_color_conflict_fox/turn_01/image.png
current-only,scarf_color_conflict_fox,2,OK,1.0,0,0,1.0,1.0,,,Make the fox wear a red scarf.,outputs/benchmarks/memory_stress_full_v2_20260723/current-only/scarf_color_conflict_fox/turn_02/image.png
current-only,scarf_color_conflict_fox,3,BAD,0.6667,1,1,0.0,1.0,fox_exists [object_retention/history],"Image shows only a folded blue fabric, no fox is visible.","Change the scarf to a blue scarf, replacing the red scarf.",outputs/benchmarks/memory_stress_full_v2_20260723/current-only/scarf_color_conflict_fox/turn_03/image.png
current-only,scarf_color_conflict_fox,4,BAD,0.75,1,1,0.6667,1.0,fox_exists [object_retention/history],"The main subject is a woman, not a fox. No fox is visible in the image.",Add light snow while keeping the blue scarf and autumn leaves.,outputs/benchmarks/memory_stress_full_v2_20260723/current-only/scarf_color_conflict_fox/turn_04/image.png
pullprompt,background_only_dog,1,OK,1.0,0,0,1.0,1.0,,,Generate a dog sitting in the center of a park.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/background_only_dog/turn_01/image.png
pullprompt,background_only_dog,2,OK,1.0,0,0,1.0,1.0,,,Make the dog wear a red scarf.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/background_only_dog/turn_02/image.png
pullprompt,background_only_dog,3,OK,1.0,0,0,1.0,1.0,,,Change only the background to a snowy forest.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/background_only_dog/turn_03/image.png
pullprompt,background_only_dog,4,OK,1.0,0,0,1.0,1.0,,,"Add warm lighting without changing the dog, scarf, or sitting pose.",outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/background_only_dog/turn_04/image.png
pullprompt,count_conflict_balloons,1,OK,1.0,0,0,1.0,1.0,,,Generate a child holding exactly two balloons.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/count_conflict_balloons/turn_01/image.png
pullprompt,count_conflict_balloons,2,OK,1.0,0,0,1.0,1.0,,,Make one balloon red and one balloon yellow.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/count_conflict_balloons/turn_02/image.png
pullprompt,count_conflict_balloons,3,OK,1.0,0,0,1.0,1.0,,,Change the count to exactly three balloons by adding one blue balloon.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/count_conflict_balloons/turn_03/image.png
pullprompt,count_conflict_balloons,4,OK,1.0,0,0,1.0,1.0,,,"Put the child on a beach, keeping exactly three balloons and no extra balloons.",outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/count_conflict_balloons/turn_04/image.png
pullprompt,material_conflict_vase,1,OK,1.0,0,0,1.0,1.0,,,Generate a clear glass vase with exactly three flowers on a wooden table.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/material_conflict_vase/turn_01/image.png
pullprompt,material_conflict_vase,2,OK,1.0,0,0,1.0,1.0,,,Make the flowers purple.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/material_conflict_vase/turn_02/image.png
pullprompt,material_conflict_vase,3,OK,1.0,0,0,1.0,1.0,,,Change the vase material to white ceramic instead of glass.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/material_conflict_vase/turn_03/image.png
pullprompt,material_conflict_vase,4,OK,1.0,0,0,1.0,1.0,,,"Add rain visible through a window behind the table, keeping the ceramic vase and three purple flowers.",outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/material_conflict_vase/turn_04/image.png
pullprompt,negative_constraint_teacher,1,OK,1.0,0,0,1.0,1.0,,,Generate a teacher robot standing beside a classroom blackboard.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/negative_constraint_teacher/turn_01/image.png
pullprompt,negative_constraint_teacher,2,OK,1.0,0,0,1.0,1.0,,,Make the robot hold a red textbook.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/negative_constraint_teacher/turn_02/image.png
pullprompt,negative_constraint_teacher,3,OK,1.0,0,0,1.0,1.0,,,Use children's book illustration style.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/negative_constraint_teacher/turn_03/image.png
pullprompt,negative_constraint_teacher,4,OK,1.0,0,0,1.0,1.0,,,"Keep the red textbook and classroom, but do not include readable text on the blackboard.",outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/negative_constraint_teacher/turn_04/image.png
pullprompt,negative_extra_performers,1,OK,1.0,0,0,1.0,1.0,,,Generate a robot playing a violin on a stage.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/negative_extra_performers/turn_01/image.png
pullprompt,negative_extra_performers,2,OK,1.0,0,0,1.0,1.0,,,Make the violin golden.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/negative_extra_performers/turn_02/image.png
pullprompt,negative_extra_performers,3,OK,1.0,0,0,1.0,1.0,,,Do not add any extra performers.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/negative_extra_performers/turn_03/image.png
pullprompt,negative_extra_performers,4,OK,1.0,0,0,1.0,1.0,,,"Add blue spotlights, keeping the robot playing the golden violin with no extra performers.",outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/negative_extra_performers/turn_04/image.png
pullprompt,object_addition_wallet,1,OK,1.0,0,0,1.0,1.0,,,Generate a black leather wallet on a marble countertop with a credit card partially sticking out.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/object_addition_wallet/turn_01/image.png
pullprompt,object_addition_wallet,2,OK,1.0,0,0,1.0,1.0,,,"Remove the credit card from the wallet, but keep the wallet.",outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/object_addition_wallet/turn_02/image.png
pullprompt,object_addition_wallet,3,OK,1.0,0,0,1.0,1.0,,,Put a small white flower on the wallet.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/object_addition_wallet/turn_03/image.png
pullprompt,object_addition_wallet,4,OK,1.0,0,0,1.0,1.0,,,Add soft studio lighting while keeping the flower on the wallet and no credit card.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/object_addition_wallet/turn_04/image.png
pullprompt,object_replacement_wolf_dog,1,OK,1.0,0,0,1.0,1.0,,,Generate a gray wolf standing in the snow.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/object_replacement_wolf_dog/turn_01/image.png
pullprompt,object_replacement_wolf_dog,2,OK,1.0,0,0,1.0,1.0,,,Replace the wolf with a black dog.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/object_replacement_wolf_dog/turn_02/image.png
pullprompt,object_replacement_wolf_dog,3,BAD,0.6667,1,1,1.0,0.0,dog_left [spatial_relation/current],"The black dog is centered in the image, not positioned on the left side.",Move the black dog to the left side of the image.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/object_replacement_wolf_dog/turn_03/image.png
pullprompt,object_replacement_wolf_dog,4,OK,1.0,0,0,1.0,1.0,,,Add a blue collar to the dog while keeping it on the left in the snow.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/object_replacement_wolf_dog/turn_04/image.png
pullprompt,scarf_color_conflict_fox,1,OK,1.0,0,0,1.0,1.0,,,Generate a fox standing in autumn leaves.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/scarf_color_conflict_fox/turn_01/image.png
pullprompt,scarf_color_conflict_fox,2,OK,1.0,0,0,1.0,1.0,,,Make the fox wear a red scarf.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/scarf_color_conflict_fox/turn_02/image.png
pullprompt,scarf_color_conflict_fox,3,OK,1.0,0,0,1.0,1.0,,,"Change the scarf to a blue scarf, replacing the red scarf.",outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/scarf_color_conflict_fox/turn_03/image.png
pullprompt,scarf_color_conflict_fox,4,OK,1.0,0,0,1.0,1.0,,,Add light snow while keeping the blue scarf and autumn leaves.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/scarf_color_conflict_fox/turn_04/image.png
